Consumption (kWh), Start, End, Price
0.296, 2023-08-15T13:00+01:00, 2023-08-15T13:00+01:00, 15.1725
0.659, 2023-08-15T13:30+01:00, 2023-08-15T13:30+01:00, 14.8155
0.418, 2023-08-15T14:00+01:00, 2023-08-15T14:00+01:00, 16.0335
0.302, 2023-08-15T14:30+01:00, 2023-08-15T14:30+01:00, 15.6555
0.28, 2023-08-15T15:00+01:00, 2023-08-15T15:00+01:00, 15.1725
0.291, 2023-08-15T15:30+01:00, 2023-08-15T15:30+01:00, 16.401
0.385, 2023-08-15T16:00+01:00, 2023-08-15T16:00+01:00, 29.0955
0.393, 2023-08-15T16:30+01:00, 2023-08-15T16:30+01:00, 30.681
0.542, 2023-08-15T17:00+01:00, 2023-08-15T17:00+01:00, 31.101
0.493, 2023-08-15T17:30+01:00, 2023-08-15T17:30+01:00, 33.9255
0.419, 2023-08-15T18:00+01:00, 2023-08-15T18:00+01:00, 36.6345
0.337, 2023-08-15T18:30+01:00, 2023-08-15T18:30+01:00, 36.939
0.331, 2023-08-15T19:00+01:00, 2023-08-15T19:00+01:00, 26.061
0.337, 2023-08-15T19:30+01:00, 2023-08-15T19:30+01:00, 25.2735
0.29, 2023-08-15T20:00+01:00, 2023-08-15T20:00+01:00, 25.2735
0.313, 2023-08-15T20:30+01:00, 2023-08-15T20:30+01:00, 25.137
0.308, 2023-08-15T21:00+01:00, 2023-08-15T21:00+01:00, 25.7985
0.276, 2023-08-15T21:30+01:00, 2023-08-15T21:30+01:00, 22.491
0.258, 2023-08-15T22:00+01:00, 2023-08-15T22:00+01:00, 23.1945
0.296, 2023-08-15T22:30+01:00, 2023-08-15T22:30+01:00, 19.047
0.294, 2023-08-15T23:00+01:00, 2023-08-15T23:00+01:00, 22.008
0.223, 2023-08-15T23:30+01:00, 2023-08-15T23:30+01:00, 21.168
0.219, 2023-08-16T00:00+01:00, 2023-08-16T00:00+01:00, 19.404
0.231, 2023-08-16T00:30+01:00, 2023-08-16T00:30+01:00, 17.283
0.225, 2023-08-16T01:00+01:00, 2023-08-16T01:00+01:00, 18.081
0.204, 2023-08-16T01:30+01:00, 2023-08-16T01:30+01:00, 17.4615
0.222, 2023-08-16T02:00+01:00, 2023-08-16T02:00+01:00, 17.8605
0.219, 2023-08-16T02:30+01:00, 2023-08-16T02:30+01:00, 16.758
0.22, 2023-08-16T03:00+01:00, 2023-08-16T03:00+01:00, 16.5375
0.202, 2023-08-16T03:30+01:00, 2023-08-16T03:30+01:00, 16.5375
0.222, 2023-08-16T04:00+01:00, 2023-08-16T04:00+01:00, 17.64
0.223, 2023-08-16T04:30+01:00, 2023-08-16T04:30+01:00, 17.64
0.233, 2023-08-16T05:00+01:00, 2023-08-16T05:00+01:00, 18.3015
0.215, 2023-08-16T05:30+01:00, 2023-08-16T05:30+01:00, 19.6035
0.234, 2023-08-16T06:00+01:00, 2023-08-16T06:00+01:00, 20.181
0.236, 2023-08-16T06:30+01:00, 2023-08-16T06:30+01:00, 22.386
0.22, 2023-08-16T07:00+01:00, 2023-08-16T07:00+01:00, 23.0895
0.219, 2023-08-16T07:30+01:00, 2023-08-16T07:30+01:00, 26.355
0.231, 2023-08-16T08:00+01:00, 2023-08-16T08:00+01:00, 21.609
0.35, 2023-08-16T08:30+01:00, 2023-08-16T08:30+01:00, 22.575
0.396, 2023-08-16T09:00+01:00, 2023-08-16T09:00+01:00, 19.761
0.342, 2023-08-16T09:30+01:00, 2023-08-16T09:30+01:00, 18.2595
0.326, 2023-08-16T10:00+01:00, 2023-08-16T10:00+01:00, 18.2385
0.343, 2023-08-16T10:30+01:00, 2023-08-16T10:30+01:00, 16.5795
0.394, 2023-08-16T11:00+01:00, 2023-08-16T11:00+01:00, 17.4195
0.34, 2023-08-16T11:30+01:00, 2023-08-16T11:30+01:00, 17.64
0.953, 2023-08-16T12:00+01:00, 2023-08-16T12:00+01:00, 16.9365
0.305, 2023-08-16T12:30+01:00, 2023-08-16T12:30+01:00, 16.5375
0.281, 2023-08-16T13:00+01:00, 2023-08-16T13:00+01:00, 16.5375
0.613, 2023-08-16T13:30+01:00, 2023-08-16T13:30+01:00, 15.834
